2,0,2,1,-,0,3,-,2,4, ,1,7,:,5,1,:,4,3
,,,,,,,,,,,,,,,,,,
SN,Title,Count,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
1,"Bank and Financial Institutes
",674,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
2,"Business
",163,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
3,"Environment and Geography
",48,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
4,"Garments and Textile
",72,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
5,"General Health and Medical Science
",127,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
6,"Hotel and Tourism
",23,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
7,"Human Resource and Management
",61,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
8,"IT and Software
",71,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
2,0,2,1,-,0,3,-,2,4, ,1,8,:,0,1,:,0,3
,,,,,,,,,,,,,,,,,,
SN,Title,Count,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
1,"Bank and Financial Institutes
",674,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
2,"Business
",163,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
3,"Environment and Geography
",48,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
4,"Garments and Textile
",72,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
5,"General Health and Medical Science
",127,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
6,"Hotel and Tourism
",23,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
7,"Human Resource and Management
",61,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
8,"IT and Software
",71,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
9,"Law and Ethics
",5414,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
10,"Real Estate
",19,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
11,"Reports on NGO
",17,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
12,"Science and Technology
",141,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
13,"Social and Political Science
",198,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
14,"Telecommunication
",68,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
15,"Other Articles
",210,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
16,"Documentations
",481,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
17,"Legal Opinion
",524,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
18,"Litigation
",270,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
19,"Bar Vocational Course
",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
20,"Coaching for Bar Council
",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
21,"Courses Offered
",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
22,"Business Ethics
",114,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
23,"Constitutional Law
",36,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
24,"Criminal Law
",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
25,"Finance
",64,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
26,"Marketing
",46,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
27,"Air Space Conventions
",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
28,"Customes Conventions
",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
29,"Diplomatic Conventions
",14,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
30,"Drugs Conventions
",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
31,"Human Rights Conventions
",10,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
32,"International Crimes Conventions
",12,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
33,"Private International Law Conventions
",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
34,"A K Sen
",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
35,"CIMA
",10,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
36,"Company
",11,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
37,"Contract
",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
38,"Power Point Slides
",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
39,"High Court Division Case
",10703,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
40,Appellate Division Case,101482,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
3/24/2021 18:01,,,,,,,,,,,,,,,,,,
